Word,Conc.M,Length (letters),Percent_known,Conc_Category
antelope,5.0,8,1.0,High
burrito,5.0,7,0.97,High
tractor,5.0,7,1.0,High
water,5.0,5,1.0,High
sand,5.0,4,1.0,High
handsaw,5.0,7,0.97,High
leopard,5.0,7,1.0,High
beanbag,4.96,7,1.0,High
airplane,4.96,8,1.0,High
iceberg,4.96,7,0.97,High
washtub,4.96,7,0.96,High
postcard,4.93,8,1.0,High
infant,4.93,6,1.0,High
folder,4.93,6,1.0,High
cumin,4.93,5,0.96,High
barnacle,4.92,8,0.96,High
sparkplug,4.92,9,0.96,High
chainsaw,4.9,8,1.0,High
apartment,4.9,9,1.0,High
streetcar,4.89,9,1.0,High
flapjack,4.89,8,0.96,High
cart,4.89,4,1.0,High
hemlock,4.88,7,0.93,High
speedboat,4.87,9,1.0,High
rooftop,4.86,7,1.0,High
baseball,4.86,8,1.0,High
toenail,4.86,7,1.0,High
plum,4.85,4,1.0,High
stickers,4.85,8,1.0,High
pinecone,4.85,8,0.96,High
sherbet,4.83,7,1.0,High
locket,4.82,6,1.0,High
brownie,4.82,7,0.97,High
coffee,4.81,6,0.96,High
beet,4.8,4,1.0,High
bedpost,4.79,7,0.96,High
coconut,4.79,7,1.0,High
flask,4.79,5,1.0,High
wildcat,4.79,7,1.0,High
cartridge,4.78,9,0.96,High
garment,4.78,7,1.0,High
barrack,4.78,7,0.93,High
haircut,4.77,7,1.0,High
bayonet,4.77,7,1.0,High
fin,4.76,3,0.97,High
clothes,4.76,7,1.0,High
antenna,4.75,7,1.0,High
toolbox,4.75,7,1.0,High
cardinal,4.74,8,1.0,High
motorist,4.72,8,1.0,High
slicer,4.72,6,1.0,High
monorail,4.71,8,0.97,High
cheekbone,4.71,9,1.0,High
kilt,4.71,4,1.0,High
kayak,4.7,5,1.0,High
sombrero,4.7,8,1.0,High
spittoon,4.7,8,0.96,High
speaker,4.69,7,1.0,High
moat,4.69,4,0.96,High
aardvark,4.68,8,1.0,High
airstrip,4.68,8,0.93,High
cushion,4.68,7,1.0,High
ringtone,4.67,8,1.0,High
bicep,4.67,5,1.0,High
buffet,4.67,6,0.96,High
mollusk,4.67,7,0.93,High
perfume,4.66,7,1.0,High
stoneware,4.66,9,0.97,High
wiring,4.64,6,1.0,High
pimento,4.64,7,0.93,High
jury,4.64,4,1.0,High
collar,4.64,6,1.0,High
handbook,4.64,8,1.0,High
boxer,4.63,5,1.0,High
paperwork,4.63,9,1.0,High
artichoke,4.63,9,1.0,High
calendar,4.62,8,1.0,High
spool,4.62,5,1.0,High
ceramics,4.62,8,1.0,High
marinara,4.62,8,0.93,High
backseat,4.61,8,1.0,High
cauldron,4.61,8,0.96,High
beverage,4.6,8,1.0,High
truffle,4.6,7,1.0,High
glassware,4.59,9,1.0,High
barley,4.59,6,1.0,High
crust,4.59,5,1.0,High
barber,4.59,6,0.96,High
pepper,4.59,6,1.0,High
hurricane,4.59,9,1.0,High
pizzeria,4.56,8,1.0,High
studio,4.55,6,1.0,High
server,4.55,6,1.0,High
secretary,4.54,9,1.0,High
suspender,4.54,9,0.93,High
vinyl,4.54,5,1.0,High
printout,4.53,8,1.0,High
capsule,4.52,7,1.0,High
bailiff,4.5,7,0.93,High
sheriff,4.5,7,1.0,High
elation,2.08,7,0.93,Low
sorcery,2.0,7,1.0,Low
default,2.0,7,1.0,Low
hatred,2.0,6,1.0,Low
homey,2.0,5,0.93,Low
unburden,2.0,8,0.93,Low
outlook,1.97,7,1.0,Low
mistake,1.97,7,1.0,Low
delirium,1.97,8,1.0,Low
madness,1.97,7,1.0,Low
attitude,1.97,8,1.0,Low
cahoots,1.96,7,0.97,Low
earful,1.96,6,1.0,Low
miracle,1.96,7,1.0,Low
bravery,1.96,7,1.0,Low
intimacy,1.96,8,1.0,Low
metaphor,1.94,8,1.0,Low
karma,1.93,5,1.0,Low
guilt,1.93,5,1.0,Low
opinion,1.93,7,1.0,Low
vantage,1.93,7,1.0,Low
charade,1.93,7,0.97,Low
reason,1.93,6,1.0,Low
duality,1.93,7,0.97,Low
phrasing,1.93,8,0.97,Low
amends,1.92,6,1.0,Low
egotism,1.9,7,1.0,Low
solvency,1.89,8,0.93,Low
omission,1.89,8,1.0,Low
